Standard Designation Number/Date,Title of Standard,Specialty Task Group,Date of Recogntion,Standard Developing Organization,Recognition Number
60976 Edition 2.0 2007-10,Medical electrical equipment - Medical electron accelators - Functional performance characteristics,Radiology,08/06/2013,IEC," "12-253
60601-2-5: Edition 3.0 2009-07,Medical electrical equipment - Part 2-5: Particular requirements for the basic safety and essential performance of ultrasonic physiotherapy equipment,Radiology,08/06/2013,IEC," "12-205
60601-2-29 Edition 3.0 2008-06,Medical electrical equipment - Part 2-29: Particular requirements for the basic safety and essential performance of radiotherapy simulators,Radiology,08/06/2013,IEC," "12-211
AUTO7-A,Laboratory Automation: Data Content for Specimen Identification; Approved Standard,Software/Informatics,08/06/2013,CLSI," "13-37
S3.39:1987 (Reaffirmed 2012),American National Standard Specifications for Instruments to Measure Aural Acoustic Impedance and Admittance (Aural Acoustic Immittance),Dental/ENT,08/06/2013,ANSI," "4-90
S3.6-2010 (Revision of ANSI S3.6-2004),American National Standard Specification for Audiometers,Dental/ENT,08/06/2013,ANSI," "4-203
S3.21-2004 (Reaffirmed 2009),American National Standard Methods for Manual Pure-Tone Threshold Audiometry,Dental/ENT,08/06/2013,ANSI," "4-167
S3.42-2012/Part 2/ IEC 60118-15:2012 (R2017),American National Standard Testing Hearing Aids - Part 2: Methods for characterizing signal processing in hearing aids with a speech-like signal (a nationally adopted international standard),Dental/ENT,08/06/2013,ANSI ASA," "4-204
9394 Third edition 2012-10-01,Ophthalmic optics - Contact lenses and contact lens care products - Determination of biocompatibility by ocular study with rabbit eyes,Ophthalmic,08/06/2013,ISO," "10-77
11979-3 Third edition 2012-12-01,Ophthalmic implants - Intraocular lenses - Part 3:  Mechanical properties and test methods,Ophthalmic,08/06/2013,ISO," "10-78
11979-1 Third edition 2012-09-15,Ophthalmic implants - Intraocular lenses - Part 1:  Vocabulary,Ophthalmic,08/06/2013,ISO," "10-79
ID54:1996/(R)2012,Enteral feeding set adapters and connectors,ObGyn/Gastroenterology/Urology,08/06/2013,ANSI AAMI," "9-31
11073-20101 First edition 2004-12-15,Health informatics - Point-of-care medical device communication - Part 20101: Application Profiles - Base Standard,Software/Informatics,08/06/2013,IEEE ISO," "13-49
11073-10408 First edition 2010-05-01,Health informatics - Point-of-care medical device communication - Part 10408: Device specialization - Thermometer,Software/Informatics,08/06/2013,IEEE ISO," "13-52
11073-10415 First edition 2010-05-01,Health informatics - Point-of-care medical device communication - Part 10415: Device specialization - Weighing scale,Software/Informatics,08/06/2013,IEEE ISO," "13-53
11073-10404 First edition 2010-05-01,Health informatics - Personal health device communication - Part 10404: Device specialization - Pulse oximeter,Software/Informatics,08/06/2013,IEEE ISO," "13-54
Std 11073-10421-2010,Health informatics - Personal health device communication Part 10421: Device specialization - Peak expiratory flow monitor (peak flow),Software/Informatics,08/06/2013,IEEE," "13-55
11073-10407 First edition 2010-05-01,Health informatics - Personal health device communication - Part 10407: Device Specialization - Blood pressure monitor,Software/Informatics,08/06/2013,IEEE ISO," "13-57
15026-4 First edition 2012-10-01,Systems and software engineering - Systems and software assurance - Part 4: Assurance in the life cycle,Software/Informatics,08/06/2013,IEC ISO," "13-59
/TS 62443-1-1 Edition 1.0 2009-07,Industrial communication networks - Network and system security - Part 1-1: Terminology concepts and models,Software/Informatics,08/06/2013,IEC," "13-60
62443-2-1 Edition 1.0 2010-11,Industrial communication networks - Network and system security - Part 2-1: Establishing an industrial automation and control system security program,Software/Informatics,08/06/2013,IEC," "13-61
/TR 62443-3-1 Edition 1.0 2009-07,Industrial communication networks - Network and system security - Part 3-1: Security technologies for industrial automation and control systems,Software/Informatics,08/06/2013,IEC," "13-62
Std 11073-10406-2011,Health informatics - Personal health device communication Part 10406: Device specialization - Basic electrocardiograph,Software/Informatics,08/06/2013,IEEE," "13-56
14457 First edition 2012-09-15,Dentistry - Handpieces and motors,Dental/ENT,08/06/2013,ISO," "4-206
V-5:2008 (Reaffirmed 2013),Diameter-Index Safety System (Noninterchangeable Low Pressure Connections for Medical Gas Applications),Anesthesiology,01/30/2014,CGA," "1-81
PVHO-1-2007,Safety Standard for Pressure Vessels for Human Occupancy,Anesthesiology,01/30/2014,ASME," "1-78
7198:2016 Second edition,Cardiovascular implants and extracorporeal systems--Vascular prostheses--Tubular vascular grafts and vascular patches,Cardiovascular,01/30/2014,ANSI AAMI ISO," "3-54
EC57:2012,Testing and reporting performance results of cardiac rhythm and ST-segment measurement algorithms,Cardiovascular,01/30/2014,ANSI AAMI," "3-118
11318:2002,Cardiac Defibrillators -- Connector assembly DF-1 for implantable defibrillators - Dimensions and test requirements.,Cardiovascular,01/30/2014,ISO," "3-63
6877 Second edition 2006-04-01,Dentistry - Root-canal obturating points,Dental/ENT,01/30/2014,ISO," "4-137
9917-1 Second edition 2007-10-01,Dentistry -  Water-based cements - Part 1: Powder/liquid acid-base cements,Dental/ENT,01/30/2014,ISO," "4-153
9168 Third edition 2009-07-15,Dentistry - Hose connectors for air driven dental handpieces,Dental/ENT,01/30/2014,ISO," "4-180
4049 Fourth edition 2009-10-01,Dentistry - Polymer-based restorative materials,Dental/ENT,01/30/2014,ISO," "4-181
9917-2 Second edition 2010-04-15,Dentistry - Water-based cements - Part 2: Resin-modified cements,Dental/ENT,01/30/2014,ISO," "4-188
14801 Second edition 2007-11-15,Dentistry - Implants-Dynamic fatigue test for endosseous dental implants,Dental/ENT,01/30/2014,ISO," "4-195
6876 Third edition 2012-06-01,Dentistry -- Root canal sealing materials,Dental/ENT,01/30/2014,ISO," "4-199
10012 First edition 2003-01-15,Measurement management systems - Requirements for measurement processes and measuring equipment,General I (QS/RM),01/30/2014,ISO," "5-47
TIR 49:2013/(R)2020,Technical Information Report Design of training and instructional materials for medical devices used in non-clinical environments,General I (QS/RM),01/30/2014,AAMI," "5-84
F2172-02 (Reapproved 2011),Standard Specification for Blood/Intravenous Fluid/Irrigation Fluid Warmers,General Plastic Surgery/General Hospital,01/30/2014,ASTM," "6-117
10555-5 Second edition 2013-06-15,Intravascular catheters -- Sterile and single-use catheters -- Part 5: Over-needle peripheral catheters,General Plastic Surgery/General Hospital,01/30/2014,ISO," "6-303
10555-3 Second edition 2013-06-15,Intravascular catheters -- Sterile and single-use catheters -- Part 3: Central venous catheters,General Plastic Surgery/General Hospital,01/30/2014,ISO," "6-305
F1671/F1671M-13,Standard Test Method for Resistance of Materials Used in Protective Clothing to Penetration by Blood-Borne Pathogens Using Phi-X174 Bacteriophage Penetration as a Test System,General Plastic Surgery/General Hospital,01/30/2014,ASTM," "6-306
10535 Second edition 2006-12-15,Hoists for the transfer of disabled persons - Requirements and test methods,General Plastic Surgery/General Hospital,01/30/2014,ISO," "6-253
23908 First edition 2011-06-11,Sharps injury protection - Requirements and test methods - Sharps protection features for single-use hypodermic needles introducers for catheters and needles used for blood sampling,General Plastic Surgery/General Hospital,01/30/2014,ISO," "6-273
60601-2-52 Edition 1.0 2009-12,Medical electrical equipment - Part 2-52: Particular requirements for basic safety and essential performance of medical beds [Including: Technical Corrigendum 1 (2010)],General Plastic Surgery/General Hospital,01/30/2014,IEC," "6-321
10555-4 Second edition 2013-06-15,Intravascular catheters -- Sterile and single-use catheters -- Part 4: Balloon dilatation catheters,General Plastic Surgery/General Hospital,01/30/2014,ISO," "6-322
NBS01-A6 (Replaces LA04-A5),Blood Collection on Filter Paper for Newborn Screening Programs: Approved Standard - Sixth Edition,InVitro Diagnostics,01/30/2014,CLSI," "7-244
EP32-R (Formerly X05-R),Metrological Traceability and Its Implementation; A Report,InVitro Diagnostics,01/30/2014,CLSI," "7-239
EP28-A3c (Formerly C28-A3c),Defining Establishing and Verifying Reference Intervals in the Clinical Laboratory; Approved Guideline - Third Edition,InVitro Diagnostics,01/30/2014,CLSI," "7-224
QMS06-A3 (Formerly GP22-A3),Quality Management System: Continual Improvement; Approved Guideline - Third Edition,InVitro Diagnostics,01/30/2014,CLSI," "7-223
H26-A2,Validation Verification and Quality Assurance of Automated Hematology Analyzers; Proposed Standard - Second Edition,InVitro Diagnostics,01/30/2014,CLSI," "7-210
EP12-A2,User Protocol for Evaluation of Qualitative Test Performance; Approved Guideline - Second Edition. ,InVitro Diagnostics,01/30/2014,CLSI," "7-152
EP06-A (Replaces EP6-P2),Evaluation of the Linearity of Quantitative Measurement Procedures: A Statistical Approach; Approved Guideline,InVitro Diagnostics,01/30/2014,CLSI," "7-193
H59-A (Replaces H59-P),Quantitative D-dimer for the Exclusion of Venous Thromboembolic Disease; Approved Guideline.,InVitro Diagnostics,01/30/2014,CLSI," "7-220
14698-2 First edition 2003-09-15,Cleanrooms and Associated Controlled Environments - Biocontamination Control - Part 2: Evaluation and Interpretation of Biocontamination Data [Including: Technical Corrigendum 1 (2004)],Sterility,01/30/2014,ISO," "14-395
6.2.04:2013,Official Method 955.15 Testing Disinfectants Against Staphylococcus aureusUse-Dilution Method,Sterility,01/30/2014,AOAC," "14-397
6.3.05:2013,Official Method 966.04 Sporicidal Activity of Disinfectants Method I,Sterility,01/30/2014,AOAC," "14-398
6.3.06:2012,Official Method 965.12 Tuberculocidal Activity of Disinfectants,Sterility,01/30/2014,AOAC," "14-399
F2203-13 (Reapproved 2018),Standard Test Method for Linear Measurement Using Precision Steel Rule,Sterility,01/30/2014,ASTM," "14-400
F2217/F2217M- (Reapproved 2018),Standard Practice for Coating/Adhesive Weight Determination,Sterility,01/30/2014,ASTM," "14-401
F1140/F1140M-13,Standard Test Methods for Internal Pressurization Failure Resistance of Unrestrained Packages,Sterility,01/30/2014,ASTM," "14-402
F2054/F2054M-13,Standard Test Method for Burst Testing of Flexible Package Seals Using Internal Air Pressurization Within Restraining Plates,Sterility,01/30/2014,ASTM," "14-403
F2250-13 (Reapproved 2018),Standard Practice for Evaluation of Chemical Resistance of Printed Inks and Coatings on Flexible Packaging Materials,Sterility,01/30/2014,ASTM," "14-404
F2252/F2252M-13 (Reapproved 2018),Standard Practice for Evaluating Ink or Coating Adhesion to Flexible Packaging Materials Using Tape,Sterility,01/30/2014,ASTM," "14-405
ST8:2013/(R)2018,Hospital steam sterilizers,Sterility,01/30/2014,ANSI AAMI," "14-406
6.2.01:2013,Official Method 955.14 Testing Disinfectants Against Salmonella choleraesuis Use-Dilution Method,Sterility,01/30/2014,AOAC," "14-412
6.2.06:2013,Official Method 964.02 Testing Disinfectants Against Pseudomonas aeruginosa Use-Dilution Method,Sterility,01/30/2014,AOAC," "14-413
51275 Third edition 2013-06-01,Practice for use of a radiochromic film dosimetry system,Sterility,01/30/2014,ASTM ISO," "14-429
F2083-12,Standard Specification for Total Knee Prosthesis,Orthopedic,01/30/2014,ASTM," "11-258
5838-2 First edition 1991-01-15,Implants for surgery -- Skeletal pins and wires -- Part 2: Steinmann skeletal pins -- Dimensions,Orthopedic,01/30/2014,ISO," "11-74
5838-3 First edition 1993-09-15,Implants for surgery -- Skeletal pins and wires -- Part 3: Kirschner skeletal wires,Orthopedic,01/30/2014,ISO," "11-75
13402 First edition 1995-08-01,Surgical and dental hand instruments -- Determination of resistance against autoclaving corrosion and thermal exposure,Orthopedic,01/30/2014,ISO," "11-83
7207-1 Third edition 2007-02-01,Implants for surgery - Components for partial and total knee joint prostheses - Part 1: Classification definitions and designation of dimensions,Orthopedic,01/30/2014,ISO," "11-232
F2033-12,Standard Specification for Total Hip Joint Prosthesis and Hip Endoprosthesis Bearing Surfaces Made of Metallic Ceramic and Polymeric Mateirals,Orthopedic,01/30/2014,ASTM," "11-238
F2345-03 (Reapproved 2013),Standard Test Methods for Determination of Static and Cyclic Fatigue Strength of Ceramic Modular Femoral Heads,Orthopedic,01/30/2014,ASTM," "11-239
F1820-13,Standard Test Method for Determining the Forces for Disassembly of Modular Acetublar Devices,Orthopedic,01/30/2014,ASTM," "11-264
F2502-11,Standard Specification and Test Methods for Methods for Absorbable Plates and Screws for Internal Fixation Implants,Orthopedic,01/30/2014,ASTM," "11-270
7176-13 First edition 1989-08-01,Wheelchairs - Part 13: Determination of coefficient of friction of test surfaces,Physical Medicine,01/30/2014,ISO," "16-25
7176-15 First edition 1996-11-15,Wheelchairs - Part 15:  Requirements for information disclosure documentation and labeling,Physical Medicine,01/30/2014,ISO," "16-27
7176-5 Second edition 2008-06-01,Wheelchairs - Part 5:  Determination of overall dimensions mass and manoeuvring space,Physical Medicine,01/30/2014,ISO," "16-163
7176-4 Third edition 2008-10-01,Wheelchairs - Part 4:  Energy consumption of electric wheelchairs and scooters for determination of theoretical distance range,Physical Medicine,01/30/2014,ISO," "16-162
7176-10 Second edition 2008-11-01,Wheelchairs - Part 10:  Determination of obstacle-climbing ability of electrically powered wheelchairs,Physical Medicine,01/30/2014,ISO," "16-164
7176-14 Second edition 2008-02-15,Wheelchairs - Part 14: Power and control systems for electrically powered wheelchairs and scooters - Requirements and test methods,Physical Medicine,01/30/2014,ISO," "16-165
7176-21 Second edition 2009-04-01,Wheelchairs - Part 21: Requirements and test methods for electromagnetic compatibility of electrically powered wheelchairs and scooters and battery chargers,Physical Medicine,01/30/2014,ISO," "16-166
7176-9 Third edition 2009-11-15,Wheelchairs - Part 9:  Climatic tests for electric wheelchairs,Physical Medicine,01/30/2014,ISO," "16-167
D6976-13R18,Standard Specification for Rubber Contraceptives - Vaginal Diaphragms,ObGyn/Gastroenterology/Urology,01/30/2014,ASTM," "9-85
16037 First edition 2002-05-15 (Amendment 1 2011-02-15),Rubber condoms for clinical trials - Measurement of physical properties [Including: Amendment (2011)],ObGyn/Gastroenterology/Urology,01/30/2014,ISO," "9-86
